recipe_name,diet,condition,ingredients,calories,steps,time
Aloo Bhujia,veg,normal,potato spices,200,1. Chop potato. 2. Heat oil. 3. Add spices. 4. Add potato. 5. Cook. 6. Serve. 7. Dry. 8. Snack.,30
Aloo Gobi,veg,normal,potato cauliflower onion tomato spices,250,"1. Heat 2 tablespoons of oil in a large pan over medium heat. 2. Add 1 teaspoon of cumin seeds and let them splutter. 3. Add 1 finely chopped onion and sauté until golden brown. 4. Add 2 chopped tomatoes and cook until they turn mushy. 5. Add 2 potatoes and 1 cauliflower, cut into pieces, along with spices like turmeric, chili, and garam masala. 6. Stir well to coat the vegetables. 7. Cover and cook for 20-25 minutes until tender. 8. Garnish with coriander and serve with roti.",40
Aloo Matar,veg,normal,potato peas spices,250,1. Chop potato. 2. Heat oil. 3. Add spices. 4. Add veggies. 5. Cook. 6. Serve. 7. With puri. 8. Simple.,30
Aloo Paratha,veg,normal,potato flour onion spices,250,1. Boil 2 potatoes and mash them. 2. Chop 1 onion and mix with potatoes. 3. Add spices like chili and coriander. 4. Knead dough with 1 cup flour and water. 5. Divide dough and stuff with potato mix. 6. Roll into parathas. 7. Cook on hot griddle with oil. 8. Serve with yogurt.,40
Baingan Bharta,veg,normal,eggplant onion tomato spices,180,"1. Roast 1 large eggplant over flame until charred. 2. Peel and mash the eggplant. 3. Chop 1 onion and 1 tomato. 4. Heat 1 tablespoon oil in a pan. 5. Sauté onion until golden. 6. Add tomato and spices, cook until soft. 7. Mix in mashed eggplant. 8. Cook for 5 minutes and serve with bread.",30
Bhelpuri,veg,normal,puffed rice vegetables chutney,200,"1. Mix 2 cups puffed rice in a bowl. 2. Chop potatoes, onions, and tomatoes. 3. Add to rice with chutneys. 4. Sprinkle sev and peanuts. 5. Add lemon juice and spices .6 Toss well .7 Garnish with coriander .8 Serve immediately.",15
Bhindi Masala,veg,normal,okra onion tomato spices,160,1 . Wash and chop   g okra .2 Chop   onion   tomato .3 Heat oil in pan .4 Sauté onion until golden .5 Add okra and cook .6 Add tomato and spices .7 Cook until okra is tender .8 Serve with roti.,25
Butter Chicken,non-veg,normal,chicken butter tomato spices,320,1 Marinate chicken in yogurt and spices .2 Cook chicken until tender .3 Make tomato-based gravy .4 Add butter and cream .5 Simmer with chicken .6 Adjust spices .7 Garnish with cream .8 Serve with naan.,50
Chana Chaat,veg,normal,chickpeas spices,260,"1 Cook chana .2 Add chopped onion , tomato .3 Add spices .4 Mix .5 Serve .6 With chutney .7 Hot .8 Enjoy.",20
Chana Masala,veg,normal,chickpeas onion tomato spices,220,"1 Soak   cup chickpeas overnight and boil until soft .2 Chop   onion   tomato finely .3 Heat   tablespoon oil in a pan over medium heat .4 Add chopped onion and sauté until golden brown .5 Add tomato and spices like cumin , coriander , chili powder    Cook the masala until oil separates    Add boiled chickpeas and   cup water , simmer for   minutes    Garnish with coriander and serve with rice or roti.",40
